country_code,country
BEL,Belgium
ITA,Italy
AUS,Australia
GBR,Great Britain
USA,United States
KOR,Korea
TUN,Tunisia
HKG,"Hong Kong, China"
ARG,Argentina
FRA,France
HUN,Hungary
AUT,Austria
JPN,Japan
EGY,Egypt
AZE,Azerbaijan
CAN,Canada
POL,Poland
KAZ,Kazakhstan
ESP,Spain
MGL,Mongolia
SWE,Sweden
BRA,Brazil
MDA,Republic of Moldova
UZB,Uzbekistan
KOS,Kosovo
GER,Germany
SUI,Switzerland
CHN,China
IND,India
ECU,Ecuador
SVK,Slovakia
ETH,Ethiopia
RSA,South Africa
GEO,Georgia
UKR,Ukraine
GRE,Greece
CRO,Croatia
GUA,Guatemala
ROU,Romania
IRL,Ireland
ISR,Israel
TJK,Tajikistan
SLO,Slovenia
MEX,Mexico
NED,Netherlands
NZL,New Zealand
PHI,Philippines
POR,Portugal
UGA,Uganda
AIN,AIN
NOR,Norway
GRN,Grenada
JAM,Jamaica
LCA,Saint Lucia
DMA,Dominica
TPE,Chinese Taipei
LTU,Lithuania
ARM,Armenia
ALG,Algeria
INA,Indonesia
DOM,Dominican Republic
CPV,Cabo Verde
CUB,Cuba
PRK,DPR Korea
CHI,Chile
SRB,Serbia
COL,Colombia
KEN,Kenya
DEN,Denmark
THA,Thailand
MAS,Malaysia
BRN,Bahrain
IRI,IR Iran
KGZ,Kyrgyzstan
TUR,Türkiye
MAR,Morocco
ZAM,Zambia
CYP,Cyprus
PER,Peru
BOT,Botswana
PAK,Pakistan
BUL,Bulgaria
EOR,EOR
JOR,Jordan
CZE,Czechia
SGP,Singapore
QAT,Qatar
PUR,Puerto Rico
PAN,Panama
CIV,Côte d'Ivoire
ALB,Albania
FIJ,Fiji
