title,city,date_start,date_end,tag,url,stage_number
Lighting Ceremony,Olympia,4/16/2024 3:31,4/16/2024 15:31,lighting-ceremony,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/lighting-ceremony,
Relay in Greece,,4/16/2024 15:32,4/26/2024 22:36,relay-in-greece,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/relay-in-greece,
Handover Ceremony,Athens,4/26/2024 3:31,4/26/2024 22:37,handover-ceremony,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/handover-ceremony,
Crossing the Mediterranean,Marseille,4/26/2024 22:38,5/8/2024 3:31,mediterranean-crossing,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/mediterranean-crossing,
Prologue,Marseille,5/8/2024 3:32,5/9/2024 1:32,prologue-marseille,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/prologue-marseille,
Marseille,Marseille,5/9/2024 3:31,5/10/2024 3:29,marseille,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/marseille,1
Var,Toulon,5/10/2024 3:31,5/11/2024 3:29,var-toulon,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/var-toulon,2
Alpes-de-Haute-Provence,Manosque,5/11/2024 3:31,5/12/2024 3:29,alpes-de-haute-provence-manosque,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/alpes-de-haute-provence-manosque,3
Bouches-du-Rhône,Arles,5/12/2024 3:31,5/13/2024 3:29,bouche-du-rhones-arles,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/bouche-du-rhones-arles,4
Millau-Sète-Montpellier,Montpellier,5/13/2024 3:31,5/14/2024 3:29,millau-sete-montpellier-montpellier,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/millau-sete-montpellier-montpellier,5
Corsica,Bastia,5/14/2024 3:31,5/15/2024 3:29,corse-bastia,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/corse-bastia,6
Pyrénées-Orientales,Perpignan,5/15/2024 3:31,5/16/2024 3:29,pyrenees-orientales-perpignan,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/pyrenees-orientales-perpignan,7
Aude,Carcassonne,5/16/2024 3:31,5/17/2024 3:29,aude-carcassonne,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/aude-carcassonne,8
Haute-Garonne,Toulouse,5/17/2024 3:31,5/18/2024 3:29,haute-garonne-toulouse,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/haute-garonne-toulouse,9
Gers,Auch,5/18/2024 3:31,5/19/2024 3:29,gers-auch,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/gers-auch,10
Hautes-Pyrénées,Tarbes,5/19/2024 3:31,5/20/2024 3:29,hautes-pyrenees-tarbes,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/hautes-pyrenees-tarbes,11
Pyrénées-Atlantiques,Pau,5/20/2024 3:31,5/21/2024 3:29,pyrenees-atlantiques-pau,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/pyrenees-atlantiques-pau,12
Dordogne,Périgueux,5/22/2024 3:31,5/23/2024 3:29,dordogne-perigueux,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/dordogne-perigueux,13
Bordeaux and the Libournais,Bordeaux,5/23/2024 3:31,5/24/2024 3:29,bordeaux-et-le-libournais-bordeaux,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/bordeaux-et-le-libournais-bordeaux,14
Charente,Angoulême,5/24/2024 3:31,5/25/2024 3:29,charente-angouleme,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/charente-angouleme,15
Vienne,Grand Poitiers Futuroscope,5/25/2024 3:31,5/26/2024 3:29,vienne-grand-poitiers-futuroscope,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/vienne-grand-poitiers-futuroscope,16
Indre,Châteauroux,5/27/2024 3:31,5/28/2024 3:29,indre-chateauroux,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/indre-chateauroux,17
